Sample material properties:
 material_id  transition_metal_content  rare_earth_content  carbon_content  main_group_content  alkali_metal_content  halogen_content  post_transition_metal_content  s_electron_count  p_electron_count  d_electron_count  f_electron_count  total_valence_electrons crystalline_symmetry  spin_orbit_coupling  magnetic_anisotropy  electron_phonon_coupling  thermal_stability  chemical_stability  synthesis_difficulty  cost_factor
     11               0.162403               0.081129          0.098492          0.155267             0.216840           0.167876                0.117993                 0.871772          2.904766          8.641343          9.187782            21.605663               monoclinic           1.533244            -0.193570                0.891321             230.107598           0.734617             0.577223         4.407341  
     12               0.077079               0.317709          0.047296          0.048148             0.230736           0.170593                0.108439                 1.392965          5.783895          7.728351          8.943449            23.848659               monoclinic           1.476007            -0.845823                0.344924             140.612833           0.726267             0.372371         2.736959  
     13               0.114497               0.136519          0.130341          0.036039             0.196883           0.216179                0.169542                 0.474504          0.408914          1.278578          0.901515             3.063510                 trigonal           0.208031            -0.275089                0.438006             638.775842           0.579839             0.661591         1.204282  
     14               0.219266               0.031384          0.147465          0.255423             0.134248           0.075241                0.136973                 1.124606          0.579368          6.115238          4.731834            12.551045             orthorhombic           1.266362            -0.801237                0.973713             699.287076           0.720366             0.667380         6.926671  
     15               0.155941               0.195010          0.109891          0.129077             0.139246           0.068283                0.202551                 0.387406          5.505734          3.143788          9.366158            18.403086             orthorhombic           0.468690             0.274188                0.379897             585.856739           0.719367             0.831223         3.452873  
     16               0.138708               0.262828          0.040686          0.223112             0.066571           0.033545                0.234550                 1.689047          0.957530          5.459384          4.686531            12.792492             orthorhombic           0.204780            -0.890771                0.757057             290.807240           0.864514             0.618557         4.259798  
     17               0.147261               0.190127          0.041309          0.203031             0.133396           0.200960                0.083917                 0.664803          0.776676          6.336749         10.738347            18.516575                hexagonal           1.843803             0.270849                0.228577             527.253284           0.482849             0.328273         3.992339  
     18               0.118844               0.174862          0.127919          0.173870             0.174273           0.088405                0.141826                 1.746049          0.717370          6.505226         11.579287            20.547932                 trigonal           1.434843             0.991046                0.257205             408.060376           0.462530             0.429907         5.031103  
     19               0.078079               0.030483          0.174456          0.122869             0.181113           0.185566                0.227433                 1.978239          1.479369          1.261949          9.727607            14.447164               tetragonal           1.812870            -0.357688                0.257143              90.941523           0.285084             0.769121         2.449808  
     20               0.184967               0.172908          0.174360          0.187264             0.038952           0.172370                0.069179                 0.955781          4.691317          9.831122          9.200064            24.678284               monoclinic           0.873614            -0.126623                0.115277             148.856525           0.499895             0.181111         0.585287  
     21               0.277095               0.001039          0.241827          0.053007             0.097781           0.010922                0.318329                 0.347520          1.549608          8.640806          1.569635            12.107568                 trigonal           0.149082            -0.882114                0.594265             687.550103           0.666618             0.602384         8.493773  
     22               0.304607               0.219971          0.009001          0.208736             0.057724           0.181296                0.018665                 1.575354          4.396019          2.487808          3.534665            11.993846                    cubic           1.727978             0.867981                0.193965             163.893556           0.294872             0.217416         9.098389  
     23               0.140751               0.063823          0.172402          0.211217             0.181614           0.030133                0.200060                 1.579292          1.102467          6.989380          2.513985            12.185125                    cubic           0.070825             0.318102                0.910658             527.269669           0.106417             0.469431         7.242397  
     24               0.014669               0.205302          0.172482          0.181848             0.138046           0.172515                0.115138                 0.952432          2.346862          1.801503          3.389638             8.490435             orthorhombic           0.164280            -0.874348                0.901111             425.955282           0.429678             0.192777         3.814801  
     25               0.160054               0.175516          0.099526          0.054196             0.171817           0.153281                0.185611                 1.167816          4.699445          2.081457          8.940966            16.889685             orthorhombic           0.257280            -0.010269                0.442769             495.523585           0.207779             0.335593         9.137174  
     26               0.324374               0.036001          0.032946          0.200103             0.108985           0.271576                0.026014                 0.838677          3.868124          5.101466          3.757262            13.565530                triclinic           0.350039             0.307737                0.811604             235.576843           0.194249             0.422223         7.146914  
     27               0.177085               0.106710          0.170263          0.076273             0.046445           0.177744                0.245480                 1.528027          5.303677          5.830440          6.078445            18.740589               tetragonal           1.105996            -0.400746                0.824909             764.473682           0.825173             0.114643         2.825523  
     28               0.123913               0.243834          0.101416          0.125621             0.185131           0.135595                0.084490                 1.297947          4.236977          7.314697          8.780970            21.630592                triclinic           1.617291            -0.090902                0.823576             792.516869           0.613238             0.963822         4.037346  
     29               0.131990               0.067049          0.251740          0.009849             0.148535           0.165352                0.225486                 0.105944          4.967121          8.465771          2.483982            16.022818               monoclinic           1.665282            -0.726669                0.929273             180.229810           0.597022             0.969586         5.396005  
     30               0.157614               0.120113          0.239671          0.250729             0.081646           0.139887                0.010339                 0.266752          1.867246          0.011594          7.408286             9.553879               monoclinic           1.361206            -0.945372                0.691190             598.248922           0.268867             0.342476         8.534833  
     31               0.081320               0.104822          0.275634          0.122290             0.139772           0.232673                0.043490                 0.452124          0.330871          7.524934          3.928948            12.236875               tetragonal           0.273808             0.081610                0.980797             286.258267           0.713132             0.746642         5.841575  
     32               0.072364               0.040021          0.217764          0.031611             0.152568           0.242703                0.242968                 0.786197          1.648950          9.369768         13.620789            25.425705                triclinic           1.352704            -0.389642                0.477957             515.556611           0.888288             0.046537         4.210615  
     33               0.083989               0.159184          0.042053          0.230962             0.242644           0.235279                0.005889                 0.887278          1.215098          3.020245          6.862508            11.985129                triclinic           0.559723             0.869924                0.551269             192.479203           0.021710             0.520053         5.166700  
     34               0.285877               0.118622          0.087275          0.165210             0.117272           0.171739                0.054005                 0.683213          0.655184          2.737068         11.414714            15.490179                triclinic           1.771127            -0.158465                0.076239              76.240932           0.474239             0.641401         0.822832  
     35               0.139244               0.081288          0.119847          0.135875             0.160923           0.185902                0.176922                 1.132801          2.458630          3.243281         13.766489            20.601200                    cubic           1.114049             0.645255                0.801096             336.495509           0.349924             0.553051         0.161034  
     36               0.215057               0.019582          0.273064          0.126852             0.058851           0.135639                0.170955                 0.082383          5.983693          6.712767          0.544906            13.323748                triclinic           0.845530            -0.221195                0.940902             207.723477           0.096983             0.003151         5.015159  
     37               0.173430               0.170924          0.177267          0.011499             0.193735           0.107577                0.165567                 1.240014          4.434592          9.975669          6.396833            22.047108                hexagonal           1.475860             0.754539                0.680488             492.978890           0.333011             0.232601         4.281083  
     38               0.026859               0.033754          0.331411          0.141909             0.185609           0.272949                0.007508                 1.937662          4.652377          8.475510          1.993813            17.059362                hexagonal           0.315160             0.739015                0.512739             713.399370           0.269938             0.703732         9.676135  
     39               0.179091               0.125506          0.275234          0.183576             0.048029           0.152750                0.035815                 0.613057          1.664384          5.394076         13.492984            21.164500             orthorhombic           1.921419             0.573607                0.495027             655.789138           0.909596             0.293913         9.031350  
     40               0.147092               0.209388          0.096690          0.197190             0.165561           0.134835                0.049243                 1.990406          2.282208          2.828727          2.091117             9.192459             orthorhombic           0.700718            -0.310438                0.965925             683.547353           0.502002             0.288709         6.848968  
     41               0.097475               0.297719          0.016614          0.230557             0.149337           0.107044                0.101253                 1.876642          1.316478          6.757152          7.704967            17.655238               monoclinic           0.692785             0.345959                0.795479             746.147619           0.322982             0.163526         1.251648  
     42               0.081335               0.121242          0.252290          0.145664             0.235936           0.026331                0.137202                 0.007615          0.817706          7.802167          0.727075             9.354563                triclinic           0.855707            -0.628166                0.279585             296.179370           0.568617             0.899208         4.485887  
     43               0.202353               0.005640          0.129180          0.205310             0.151387           0.137944                0.168185                 0.948238          0.246597          4.201434          4.303004             9.699273               tetragonal           1.807842             0.541419                0.240173             437.311387           0.664600             0.803088         3.730435  
     44               0.097442               0.142246          0.321992          0.017639             0.019838           0.202365                0.198478                 0.346007          2.111004          6.995981          1.357085            10.810077                hexagonal           0.369308            -0.882797                0.389187             254.771326           0.504808             0.745068         1.355400  
     45               0.217340               0.149728          0.021228          0.223533             0.046969           0.140366                0.200837                 0.281496          5.512158          3.742967          2.559680            12.096301                hexagonal           0.211315             0.371742                0.417912             137.046909           0.516765             0.489414         0.432061  
     46               0.111764               0.317831          0.061729          0.138147             0.208266           0.136071                0.026191                 1.882037          1.127055          4.696094         10.152249            17.857435                 trigonal           0.834842             0.669347                0.324019             788.156751           0.097920             0.556249         6.236415  
     47               0.164826               0.128185          0.020485          0.163998             0.248151           0.040122                0.234233                 1.046583          3.681765          6.647882         11.332483            22.708714               monoclinic           1.863507            -0.620712                0.097682              68.246110           0.983388             0.370544         5.296207  
     48               0.154854               0.431933          0.161595          0.070756             0.031464           0.041978                0.107420                 0.257992          1.528411          7.753430          7.834157            17.373990                triclinic           1.190206            -0.584260                0.370238             583.867820           0.307869             0.056657         8.640043  
     49               0.219228               0.022486          0.349680          0.032663             0.270260           0.033624                0.072058                 0.544482          1.695248          2.187635         11.092245            15.519609               monoclinic           0.804362             0.486595                0.986587             411.281106           0.795699             0.559038         8.024190  
     50               0.338567               0.066485          0.172480          0.158771             0.100907           0.147123                0.015667                 1.298422          5.196187          0.891881          8.828962            16.215451                hexagonal           0.865278            -0.900331                0.694517             678.948863           0.491069             0.809761         8.706215  
     51               0.200245               0.063882          0.155457          0.229206             0.004894           0.193178                0.153137                 1.439356          5.116615          0.384149          4.242731            11.182851               monoclinic           0.617004             0.985602                0.441128             534.579603           0.152524             0.499664         1.879638  
     52               0.264734               0.070026          0.161457          0.147466             0.128543           0.176660                0.051115                 1.599809          2.693486          7.808287          4.739294            16.840876                hexagonal           0.444863             0.106418                0.075802             412.155073           0.087913             0.946368         0.778167  
     53               0.328524               0.007247          0.096401          0.083047             0.198796           0.207479                0.078506                 1.829726          2.098435          8.108719         13.233522            25.270402                 trigonal           1.948791             0.688933                0.807691             746.849915           0.471204             0.947580         6.593615  
     54               0.042946               0.197262          0.031211          0.229866             0.197574           0.035407                0.265733                 0.827615          4.259909          6.867964          8.335701            20.291189               tetragonal           1.148496             0.174604                0.496604             469.463926           0.650120             0.189250         2.352153  
     55               0.134879               0.295021          0.089383          0.299479             0.134372           0.017615                0.029251                 1.944499          5.771732          3.323141          1.066611            12.105983                    cubic           0.799323            -0.173607                0.734906             696.944513           0.832611             0.703020         9.613257  
     56               0.185778               0.318532          0.132374          0.023684             0.093505           0.241564                0.004563                 1.317936          0.283368          5.261285          6.986222            13.848811                hexagonal           0.036979             0.770515                0.240214             756.713166           0.618380             0.636177         4.221780  
     57               0.052798               0.285297          0.054742          0.062583             0.192894           0.282925                0.068762                 0.540256          5.024929          4.800383          3.041493            13.407061                hexagonal           0.552458             0.929839                0.545996             597.553667           0.425820             0.210588         0.662357  
     58               0.079793               0.061481          0.108525          0.049399             0.297772           0.332420                0.070610                 0.752363          0.904587          7.955567          9.878566            19.491082                 trigonal           0.257972             0.544628                0.837805             630.256078           0.278218             0.060566         2.837606  
     59               0.042682               0.295376          0.125872          0.229441             0.179896           0.116011                0.010722                 0.615389          1.850644          9.611160         12.168154            24.245347                triclinic           1.966448             0.127650                0.680269             738.660452           0.185595             0.783594         0.394688  
     60               0.002545               0.150160          0.025373          0.045058             0.381489           0.154800                0.240575                 0.406464          0.365592          0.118197          1.989590             2.879843                hexagonal           1.334850            -0.334967                0.766216             199.552925           0.794569             0.441380         9.297138  
     61               0.064132               0.121298          0.367129          0.010077             0.020677           0.404148                0.012540                 1.961348          0.938377          5.354927         10.264632            18.519284                 trigonal           1.377545            -0.511897                0.333707             398.879566           0.096219             0.682381         9.333324  
     62               0.123190               0.168506          0.141125          0.121604             0.125779           0.166519                0.153277                 0.207967          3.699185          3.370874          5.999804            13.277831                    cubic           0.581147            -0.414393                0.762149             170.227822           0.593102             0.947255         0.999096  
     63               0.060882               0.003354          0.202204          0.052938             0.185291           0.276324                0.219007                 1.328321          2.015792          3.425955          2.931814             9.701882                    cubic           0.046614             0.375143                0.598521             232.236968           0.770918             0.647625         0.684024  
     64               0.128717               0.138109          0.020719          0.290636             0.302462           0.092930                0.026427                 0.369132          5.891129          4.401701         13.436760            24.098722                    cubic           0.299611            -0.108076                0.885929             715.949379           0.839835             0.556440         8.174334  
     65               0.001263               0.163637          0.022690          0.321030             0.125825           0.252294                0.113262                 0.561530          5.925975          2.318488         13.206734            22.012727                 trigonal           0.483638             0.185074                0.046585             670.113502           0.608975             0.359837         5.586557  
     66               0.117505               0.257195          0.122526          0.055883             0.138034           0.169412                0.139445                 0.569172          5.315239          5.292556          0.384732            11.561700                 trigonal           0.890960             0.862265                0.299336             371.852097           0.934688             0.072991         3.203096  
     67               0.063436               0.290624          0.248396          0.065443             0.021660           0.103899                0.206543                 0.482150          2.991792          7.394530          0.030150            10.898623                triclinic           0.513127             0.356403                0.224238             697.335917           0.768726             0.109093         5.070200  
     68               0.050718               0.097729          0.204665          0.229268             0.126538           0.202368                0.088713                 0.032261          0.039709          5.507652          9.199689            14.779312                hexagonal           1.157299            -0.187655                0.107649             645.486591           0.634305             0.986320         7.263254  
     69               0.021238               0.114069          0.269513          0.098682             0.436546           0.011612                0.048340                 1.095817          4.253165          7.057378          1.791670            14.198029               monoclinic           1.240923            -0.078050                0.690613             565.406990           0.444040             0.567339         5.698271  
     70               0.223387               0.214296          0.179193          0.076706             0.241017           0.064221                0.001180                 0.968790          3.867771          5.306348         11.876945            22.019853               monoclinic           1.665793            -0.037804                0.706761             725.774797           0.552295             0.400524         6.908731  
     71               0.150293               0.232975          0.093818          0.003756             0.043519           0.239066                0.236573                 0.360731          3.161468          3.037521         12.657398            19.217119               monoclinic           1.717485             0.027811                0.373688             766.747571           0.712264             0.686867         8.470939  
     72               0.041628               0.195998          0.101696          0.086336             0.003486           0.283681                0.287176                 0.298282          3.767996          1.480974          7.137251            12.684503                 trigonal           1.926757             0.252762                0.241858             318.865771           0.604569             0.104278         1.945912  
     73               0.159879               0.067215          0.015333          0.123538             0.302812           0.037067                0.294155                 0.778416          3.128521          5.974471          6.402546            16.283953               tetragonal           0.835037            -0.137219                0.347137             779.911298           0.038061             0.508045         9.811795  
     74               0.201320               0.091964          0.250785          0.157603             0.122870           0.044010                0.131449                 0.508552          5.918659          7.913024          2.231889            16.572123                    cubic           1.315288            -0.976232                0.122181             643.141935           0.612272             0.084372         7.667186  
     75               0.135888               0.076721          0.294323          0.116888             0.068186           0.196592                0.111402                 1.282580          2.950432          7.332711          3.075049            14.640772                    cubic           0.544715            -0.117437                0.266319             426.519541           0.125024             0.079220         4.699672  
     76               0.201909               0.194053          0.123060          0.006054             0.213449           0.007081                0.254393                 1.183081          2.478603          7.903083         13.164555            24.729323                hexagonal           1.857353             0.779460                0.199118             184.430167           0.264066             0.645348         9.064536  
     77               0.064190               0.198703          0.140205          0.173385             0.229730           0.083739                0.110048                 1.483156          2.520872          7.563071          4.108603            15.675702                    cubic           1.209670            -0.430923                0.373304             272.984416           0.543945             0.600763         2.284261  
     78               0.169036               0.187911          0.115486          0.188467             0.010349           0.174286                0.154464                 0.506584          4.768254          0.235568          8.358777            13.869183                    cubic           0.424039             0.187129                0.400109             680.102392           0.898805             0.793598         9.834643  
     79               0.099542               0.215987          0.167691          0.121406             0.155551           0.029664                0.210158                 1.891367          5.196748          6.077815          6.246564            19.412493               monoclinic           1.468812            -0.638909                0.329308              54.926565           0.148106             0.244987         0.180855  
     80               0.271243               0.031936          0.053165          0.216811             0.298497           0.003047                0.125300                 1.683210          3.645985          1.597034          7.326990            14.253219               monoclinic           1.658503            -0.518624                0.200531             411.340670           0.522215             0.669960         8.391505  
     81               0.105462               0.022857          0.051266          0.316847             0.099546           0.272646                0.131376                 1.767105          1.513437          5.821034          5.607535            14.709111               tetragonal           0.635975            -0.296173                0.248273             431.814978           0.425298             0.156182         9.902017  
     82               0.040217               0.162623          0.193895          0.170861             0.225321           0.167105                0.039978                 0.775976          0.405468          7.560897          2.089997            10.832339               monoclinic           1.745576             0.879044                0.194325             741.849203           0.224114             0.261589         4.291921  
     83               0.032361               0.247440          0.020536          0.164415             0.062498           0.254676                0.218074                 1.532504          4.129988          3.292017          0.356960             9.311469                 trigonal           1.819008             0.009838                0.439213             271.076535           0.948301             0.159921         8.738094  
     84               0.145753               0.037519          0.185446          0.114546             0.222569           0.105509                0.188659                 1.660764          3.106876          8.647756         13.576590            26.991986                 trigonal           1.524359             0.656805                0.910351             232.065486           0.612786             0.902693         9.746418  
     85               0.207194               0.013552          0.229010          0.038685             0.132797           0.214165                0.164597                 0.271532          5.292053          7.845835          0.224402            13.633822               monoclinic           1.293033            -0.836424                0.952372             642.751436           0.358908             0.104672         7.502395  
     86               0.101319               0.122062          0.143654          0.160794             0.154203           0.165481                0.152487                 0.814408          4.627997          7.201420          4.080999            16.724824                hexagonal           1.541047             0.221280                0.737398             676.192082           0.625299             0.526099         0.407339  
     87               0.063115               0.048285          0.208104          0.267854             0.103297           0.141632                0.167714                 0.336346          2.917397          2.549208          1.005879             6.808830                    cubic           1.182907             0.356549                0.177601             320.455107           0.177359             0.352652         8.711831  
     88               0.086208               0.102442          0.146865          0.273970             0.137742           0.084796                0.167977                 1.906627          2.128643          6.589733          0.926729            11.551732             orthorhombic           1.805090             0.555353                0.859053             288.022474           0.248567             0.993980         8.170511  
     89               0.312444               0.064247          0.005679          0.173078             0.036892           0.105764                0.301895                 0.760540          4.987315          4.657270          9.811503            20.216628               tetragonal           1.521244            -0.615677                0.562710             528.099674           0.219588             0.743919         7.399845  
     90               0.191777               0.126929          0.059600          0.152605             0.044233           0.251050                0.173806                 1.168636          4.869077          6.857006          5.632830            18.527548                hexagonal           0.081201            -0.313992                0.445127             649.078705           0.398684             0.430248         8.659551  
     91               0.145108               0.176934          0.218872          0.013134             0.161483           0.041987                0.242483                 1.541248          5.920078          4.248598          0.734045            12.443969               monoclinic           1.406143            -0.397785                0.692927             564.926494           0.276854             0.301889         5.284537  
     92               0.036564               0.244603          0.139747          0.062907             0.046039           0.318787                0.151353                 1.354336          1.429177          7.282636         12.100941            22.167090                hexagonal           1.274250            -0.697354                0.616600             186.185339           0.470746             0.783148         4.076171  
     93               0.250710               0.163468          0.055640          0.161394             0.185418           0.110284                0.073086                 0.248975          4.621503          8.151552          9.629481            22.651511               monoclinic           0.150575            -0.198122                0.565012             459.462404           0.261737             0.776607         4.443152  
     94               0.208428               0.242422          0.046730          0.144398             0.140595           0.016090                0.201337                 1.528302          5.100160          7.494257          2.636632            16.759351             orthorhombic           1.979481             0.964632                0.028920             601.357993           0.051750             0.212363         6.561344  
     95               0.156488               0.056067          0.146383          0.177030             0.220183           0.137699                0.106151                 1.330218          5.778066          0.055275         13.088697            20.252257               monoclinic           1.379818             0.308827                0.059466             682.985991           0.179094             0.151133         8.989754  
     96               0.319106               0.323077          0.073044          0.049763             0.046592           0.056268                0.132150                 0.604869          3.790433          2.183986          4.986474            11.565762                hexagonal           0.811884            -0.025571                0.057802             239.166242           0.860663             0.876653         9.364134  
     97               0.104630               0.281233          0.125249          0.014753             0.043121           0.204626                0.226389                 0.821136          5.575122          0.155970         11.300817            17.853044             orthorhombic           0.989716            -0.100921                0.313167             670.842281           0.821332             0.877425         6.664524  
     98               0.007304               0.348829          0.211572          0.248935             0.166980           0.003285                0.013096                 1.093701          5.675066          2.848711          6.152523            15.770001                 trigonal           1.549439             0.181913                0.244827             366.518140           0.956323             0.925123         9.160754  
     99               0.111044               0.085365          0.042812          0.214306             0.067020           0.239334                0.240119                 1.517836          0.645624          8.105834          4.789550            15.058845                hexagonal           0.790090             0.194699                0.636341              70.504701           0.622389             0.951944         8.683514  
    100               0.032049               0.132660          0.287234          0.066115             0.101225           0.012132                0.368584                 0.625269          4.590639          8.034314          6.725734            19.975957             orthorhombic           0.759505            -0.690168                0.709861             672.585007           0.605607             0.629411         5.002253  
    101               0.180888               0.047484          0.089593          0.174028             0.037968           0.248210                0.221829                 1.694143          3.702571          1.349284          5.420812            12.166810                    cubic           0.399702             0.624683                0.912387              87.358399           0.609128             0.952257         4.192816  
    102               0.287603               0.114223          0.063539          0.127158             0.076402           0.238383                0.092691                 1.044654          5.105697          9.431780          7.787276            23.369407                 trigonal           0.012854            -0.477809                0.702240             752.830219           0.375585             0.084746         8.151627  
    103               0.097084               0.201719          0.224035          0.178876             0.096366           0.082845                0.119075                 1.138922          5.212557          9.004115          4.476613            19.832207                    cubic           1.561575             0.940464                0.211799             377.576454           0.530738             0.573785         7.124619  
    104               0.127167               0.246543          0.163983          0.048013             0.061909           0.128671                0.223713                 1.016694          0.187049          1.747702          9.886193            12.837638             orthorhombic           1.993140            -0.175713                0.979680             377.764227           0.890994             0.687101         6.382190  
    105               0.212869               0.019999          0.248520          0.099128             0.008709           0.163935                0.246840                 1.232987          2.474873          9.922299         10.625367            24.255526                hexagonal           0.774759             0.924262                0.184910             261.374939           0.352397             0.101018         6.559661  
